"fare_id","route_id","origin_id","destination_id","contains_id"
"4012_1761_1_500_20260407","4012_1761_1_20260407","100735_1","100719_1",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100735_1","100719_1",
"4012_1981_1_500_20260407","4012_1981_1_20260407","100735_1","100719_1",
"4012_2001_1_500_20260407","4012_2001_1_20260407","100735_1","100719_1",
"4012_2021_1_500_20260407","4012_2021_1_20260407","100735_1","100719_1",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100735_1","100719_1",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100735_1","100719_1",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100735_1","100719_1",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100735_1","100719_1",
"4012_1712_2_200_20260407","4012_1712_2_20260407","100735_1","100734_1",
"4012_1751_1_200_20260407","4012_1751_1_20260407","100735_1","100734_1",
"4012_1761_1_200_20260407","4012_1761_1_20260407","100735_1","100734_1",
"4012_1822_2_200_20260407","4012_1822_2_20260407","100735_1","100734_1",
"4012_1861_1_200_20260407","4012_1861_1_20260407","100735_1","100734_1",
"4012_1981_1_200_20260407","4012_1981_1_20260407","100735_1","100734_1",
"4012_2001_1_200_20260407","4012_2001_1_20260407","100735_1","100734_1",
"4012_2021_1_200_20260407","4012_2021_1_20260407","100735_1","100734_1",
"4012_2041_1_200_20260407","4012_2041_1_20260407","100735_1","100734_1",
"4012_2051_1_200_20260407","4012_2051_1_20260407","100735_1","100734_1",
"4012_7001_1_200_20260407","4012_7001_1_20260407","100735_1","100734_1",
"4012_7011_1_200_20260407","4012_7011_1_20260407","100735_1","100734_1",
"4012_1751_1_250_20260407","4012_1751_1_20260407","100736_1","100001_2",
"4012_1761_1_250_20260407","4012_1761_1_20260407","100736_1","100001_2",
"4012_1861_1_250_20260407","4012_1861_1_20260407","100736_1","100001_2",
"4012_1931_1_250_20260407","4012_1931_1_20260407","100736_1","100001_2",
"4012_1941_1_250_20260407","4012_1941_1_20260407","100736_1","100001_2",
"4012_1961_1_250_20260407","4012_1961_1_20260407","100736_1","100001_2",
"4012_2021_1_250_20260407","4012_2021_1_20260407","100736_1","100001_2",
"4012_2041_1_250_20260407","4012_2041_1_20260407","100736_1","100001_2",
"4012_2051_1_250_20260407","4012_2051_1_20260407","100736_1","100001_2",
"4012_7001_1_250_20260407","4012_7001_1_20260407","100736_1","100001_2",
"4012_7011_1_250_20260407","4012_7011_1_20260407","100736_1","100001_2",
"4012_1981_1_210_20260407","4012_1981_1_20260407","100736_1","100002_13",
"4012_2001_1_210_20260407","4012_2001_1_20260407","100736_1","100002_13",
"4012_1751_1_210_20260407","4012_1751_1_20260407","100736_1","100002_26",
"4012_1761_1_210_20260407","4012_1761_1_20260407","100736_1","100002_26",
"4012_1861_1_210_20260407","4012_1861_1_20260407","100736_1","100002_26",
"4012_1931_1_210_20260407","4012_1931_1_20260407","100736_1","100002_26",
"4012_1941_1_210_20260407","4012_1941_1_20260407","100736_1","100002_26",
"4012_1961_1_210_20260407","4012_1961_1_20260407","100736_1","100002_26",
"4012_2021_1_210_20260407","4012_2021_1_20260407","100736_1","100002_26",
"4012_2041_1_210_20260407","4012_2041_1_20260407","100736_1","100002_26",
"4012_2051_1_210_20260407","4012_2051_1_20260407","100736_1","100002_26",
"4012_7001_1_210_20260407","4012_7001_1_20260407","100736_1","100002_26",
"4012_7011_1_210_20260407","4012_7011_1_20260407","100736_1","100002_26",
"4012_1751_1_280_20260407","4012_1751_1_20260407","100736_1","100003_2",
"4012_1761_1_280_20260407","4012_1761_1_20260407","100736_1","100003_2",
"4012_1861_1_280_20260407","4012_1861_1_20260407","100736_1","100003_2",
"4012_1931_1_280_20260407","4012_1931_1_20260407","100736_1","100003_2",
"4012_1941_1_280_20260407","4012_1941_1_20260407","100736_1","100003_2",
"4012_1961_1_280_20260407","4012_1961_1_20260407","100736_1","100003_2",
"4012_2021_1_280_20260407","4012_2021_1_20260407","100736_1","100003_2",
"4012_2041_1_280_20260407","4012_2041_1_20260407","100736_1","100003_2",
"4012_2051_1_280_20260407","4012_2051_1_20260407","100736_1","100003_2",
"4012_7001_1_280_20260407","4012_7001_1_20260407","100736_1","100003_2",
"4012_7011_1_280_20260407","4012_7011_1_20260407","100736_1","100003_2",
"4012_1751_1_280_20260407","4012_1751_1_20260407","100736_1","100004_3",
"4012_1761_1_280_20260407","4012_1761_1_20260407","100736_1","100004_3",
"4012_1861_1_280_20260407","4012_1861_1_20260407","100736_1","100004_3",
"4012_1941_1_280_20260407","4012_1941_1_20260407","100736_1","100004_3",
"4012_1961_1_280_20260407","4012_1961_1_20260407","100736_1","100004_3",
"4012_2041_1_280_20260407","4012_2041_1_20260407","100736_1","100004_3",
"4012_2051_1_280_20260407","4012_2051_1_20260407","100736_1","100004_3",
"4012_7001_1_280_20260407","4012_7001_1_20260407","100736_1","100004_3",
"4012_7011_1_280_20260407","4012_7011_1_20260407","100736_1","100004_3",
"4012_1931_1_280_20260407","4012_1931_1_20260407","100736_1","100004_5",
"4012_2021_1_280_20260407","4012_2021_1_20260407","100736_1","100004_5",
"4012_1751_1_300_20260407","4012_1751_1_20260407","100736_1","100175_2",
"4012_1761_1_300_20260407","4012_1761_1_20260407","100736_1","100175_2",
"4012_1861_1_300_20260407","4012_1861_1_20260407","100736_1","100175_2",
"4012_1941_1_300_20260407","4012_1941_1_20260407","100736_1","100175_2",
"4012_1961_1_300_20260407","4012_1961_1_20260407","100736_1","100175_2",
"4012_2041_1_300_20260407","4012_2041_1_20260407","100736_1","100175_2",
"4012_2051_1_300_20260407","4012_2051_1_20260407","100736_1","100175_2",
