"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"4005_1422_2_20240507","20240507","桜町バスターミナル",,"長嶺団地"
"4017_4022_2_20240401","20240401","小峯営業所",,"上熊本駅前"
"4013_3471_1_20240507","20240507","長嶺団地",,"健軍電停前"
"4008_3721_1_20240401","20240401","上熊本駅前",,"東本町"
"4009_5102_2_20240503","20240503","水前寺駅北口",,"城西校北"
"4009_5132_2_20240501","20240501","県立劇場前",,"桜町バスターミナル"
"4013_3451_1_20240501","20240501","長嶺団地",,"若葉小学校前"
"4027_1291_1_20240501","20240501","桜町バスターミナル",,"三山荘"
"4007_3622_2_20240401","20240401","県立劇場前",,"熊本駅前"
"4013_3421_1_20240501","20240501","長嶺団地",,"長嶺団地"
"4027_1361_1_20240401","20240401","三山荘",,"桜町バスターミナル"
"4009_5131_1_20240501","20240501","桜町バスターミナル",,"県立劇場前"
"4011_2561_1_20240501","20240501","秋津小楠記念館前",,"桜町バスターミナル"
"4005_1541_1_20240503","20240503","桜町バスターミナル",,"託麻南"
"4010_4632_2_20240507","20240507","画図橋",,"桜町バスターミナル"
"4010_4651_1_20240503","20240503","本山営業所",,"水前寺鳥居前"
"4033_5201_1_20240401","20240401","熊本駅前",,"トラックターミナル前"
"4006_7501_1_20240401","20240401","西部車庫",,"長嶺団地"
"4009_5101_1_20240507","20240507","城西校北",,"水前寺駅北口"
"4018_3902_2_20240501","20240501","小峯営業所",,"熊本駅前"
"4010_4652_2_20240401","20240401","水前寺鳥居前",,"本山営業所"
"4017_4001_1_20240507","20240507","上熊本駅前",,"県会議事堂前"
"4001_1051_1_20240503","20240503","熊本駅前",,"熊本駅前"
"4007_3631_1_20240503","20240503","熊本駅前",,"熊本駅前"
"4009_5141_1_20240503","20240503","桜町バスターミナル",,"城西校北"
"4027_1201_1_20240507","20240507","三山荘",,"蓮台寺"
"4001_1001_1_20240503","20240503","熊本駅前",,"熊本駅前"
"4032_4901_1_20240507","20240507","熊本駅前",,"長嶺小学校前"
"4013_3441_1_20240401","20240401","東町団地",,"若葉小学校前"
"4012_7011_1_20240507","20240507","長嶺団地",,"小峯営業所"
"4004_2802_2_20240501","20240501","柿原公民館前",,"桜町バスターミナル"
"4008_3711_1_20240503","20240503","昭和町（市道）",,"上熊本駅前"
"4020_4181_1_20240503","20240503","桜町バスターミナル",,"烏ヶ江終点"
"4001_1061_1_20240501","20240501","上熊本駅前",,"熊本駅前"
"4013_3431_1_20240401","20240401","託麻まちづくりセンター前",,"若葉小学校前"
